Status_Rawan,Pendidikan_KRT,KRT_Rawan,Penerima_Transfer,Aset_Tanah,Akses_Internet,Sakit_Namun_Tidak_Rawat_Jalan,PKH,KKS,BPNT,Bantuan_Pemda,BPJS,Jamkesda,KIP,PIP,Jenis_Atap,Jenis_Lantai,Jenis_Dinding,Luas_Lantai,Listrik,Bahan_Bakar_Masak,Sumber_Air_Minum,Air_Minum_Layak,Sanitasi_Layak,Jenis_Kelamin_KRT,Umur_KRT,Status_Bekerja_KRT,ART,ART014,Buta_Huruf,Perokok,Status_Bangunan,Tabungan,Status_Daerah,Akses_KUR
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,77,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,46,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,108,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Tidak,Laki-Laki,56,Ya,4,1,Tidak Ada,2 atau lebih,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,40,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Tidak,Laki-Laki,36,Ya,2,1,Tidak Ada,1,Bebas Sewa,1,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,36,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,67,Ya,4,Tidak Ada,Tidak Ada,1,Milik sendiri,Tidak Ada,Kota,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,63,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,51,Ya,2,Tidak Ada,Tidak Ada,1,Milik sendiri,1,Kota,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,120,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,41,Ya,4,2,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,40,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,36,Ya,5 atau lebih,2,Tidak Ada,1,Bebas Sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Kayu/Papan,96,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,70,Ya,4,Tidak Ada,Tidak Ada,2 atau lebih,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMP,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,60,Listrik,Minyak tanah,Air kemasan/isi Ulang,Tidak,Ya,Perempuan,46,Tidak,5 atau lebih,2,Tidak Ada,1,Milik sendiri,2 atau lebih,Kota,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,65,Listrik,LPG 3Kg,Sumur bor/pompa,Tidak,Ya,Laki-Laki,33,Ya,4,2,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Kayu/Papan,30,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,52,Ya,4,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,1,Kota,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,60,Listrik,LPG 12kg/5.5kg/Bluegaz,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,50,Ya,5 atau lebih,2,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Rawan,Tidak Sekolah,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,25,Listrik,LPG 3Kg,Leding,Ya,Tidak,Perempuan,56,Ya,1,Tidak Ada,Tidak Ada,Tidak Ada,Kontrak/sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,42,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Perempuan,74,Tidak,1,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,80,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,72,Ya,4,Tidak Ada,Tidak Ada,1,Milik sendiri,1,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,112,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Perempuan,42,Ya,2,1,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,92,Listrik,LPG 3Kg,Sumur bor/pompa,Tidak,Ya,Laki-Laki,62,Ya,4,1,Tidak Ada,1,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,75,Listrik,LPG 3Kg,Lainnya,Ya,Tidak,Laki-Laki,47,Ya,4,1,Tidak Ada,1,Kontrak/sewa,2 atau lebih,Kota,Tidak
Tidak Rawan,Tidak Sekolah,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Tembok/Plesteran/anyaman,70,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,57,Ya,4,Tidak Ada,Tidak Ada,2 atau lebih,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,60,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,55,Ya,3,Tidak Ada,Tidak Ada,2 atau lebih,Milik sendiri,2 atau lebih,Desa,Tidak
Rawan,Tidak Tamat SD,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,54,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,57,Ya,1,Tidak Ada,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,42,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,48,Ya,4,2,Tidak Ada,Tidak Ada,Milik sendiri,1,Kota,Tidak
Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,63,Listrik,Minyak tanah,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,74,Tidak,2,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SD,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,200,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Perempuan,76,Tidak,1,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,1,Kota,Tidak
Tidak Rawan,Tidak Sekolah,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,25,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,32,Ya,4,2,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,81,Listrik,LPG 12kg/5.5kg/Bluegaz,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,35,Ya,4,2,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Kota,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,100,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,33,Ya,4,2,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,60,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,42,Ya,3,1,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,54,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,81,Tidak,2,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,63,Listrik,LPG 3Kg,Leding,Ya,Ya,Laki-Laki,36,Ya,2,Tidak Ada,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,42,Listrik,LPG 3Kg,Sumur bor/pompa,Tidak,Tidak,Laki-Laki,51,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,54,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,48,Ya,5 atau lebih,1,Tidak Ada,1,Milik sendiri,Tidak Ada,Kota,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,45,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,32,Tidak,4,2,Tidak Ada,1,Kontrak/sewa,1,Kota,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,180,Listrik,LPG 12kg/5.5kg/Bluegaz,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,33,Ya,4,2,Tidak Ada,Tidak Ada,Kontrak/sewa,2 atau lebih,Kota,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Seng,Semen/bata merah,Kayu/Papan,42,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,62,Ya,4,2,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Desa,Tidak
Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,60,Listrik,LPG 3Kg,Sumur bor/pompa,Tidak,Tidak,Laki-Laki,63,Tidak,5 atau lebih,3 atau lebih,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Kota,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,24,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,39,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,32,Listrik,Kayu Bakar,Lainnya,Ya,Tidak,Laki-Laki,69,Ya,2,Tidak Ada,1,1,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,108,Listrik,LPG 12kg/5.5kg/Bluegaz,Lainnya,Tidak,Ya,Laki-Laki,39,Ya,4,2,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,24,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,43,Ya,5 atau lebih,2,Tidak Ada,1,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,110,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,56,Ya,2,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Kota,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,40,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,33,Ya,4,2,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Rawan,SMA,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,200,Listrik,LPG 12kg/5.5kg/Bluegaz,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,50,Ya,5 atau lebih,3 atau lebih,Tidak Ada,Tidak Ada,Bebas Sewa,2 atau lebih,Kota,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,72,Listrik,LPG 3Kg,Leding,Ya,Tidak,Laki-Laki,48,Ya,4,2,2 atau lebih,1,Milik sendiri,2 atau lebih,Desa,Tidak
Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,36,Listrik,Minyak tanah,Lainnya,Ya,Tidak,Laki-Laki,47,Ya,2,Tidak Ada,Tidak Ada,Tidak Ada,Kontrak/sewa,1,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,35,Listrik,Kayu Bakar,Lainnya,Ya,Ya,Perempuan,59,Ya,2,Tidak Ada,Tidak Ada,1,Kontrak/sewa,1,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,45,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,47,Ya,4,2,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SD,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,42,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Perempuan,58,Ya,2,1,Tidak Ada,Tidak Ada,Kontrak/sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Asbes,Semen/bata merah,Kayu/Papan,30,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,33,Ya,4,2,Tidak Ada,Tidak Ada,Bebas Sewa,1,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Genteng,Marmer/Keramik,Tembok/Plesteran/anyaman,168,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,53,Ya,4,Tidak Ada,Tidak Ada,2 atau lebih,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,24,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,27,Ya,2,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SD,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Lainnya,Lainnya,Kayu/Papan,60,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Perempuan,70,Tidak,1,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,48,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,62,Ya,2,Tidak Ada,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,48,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,46,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Kontrak/sewa,2 atau lebih,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Lainnya,Semen/bata merah,Kayu/Papan,42,Listrik,LPG 3Kg,Leding,Ya,Ya,Laki-Laki,63,Ya,5 atau lebih,3 atau lebih,1,1,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,42,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,39,Ya,4,2,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,60,Listrik,LPG 12kg/5.5kg/Bluegaz,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,41,Ya,3,1,Tidak Ada,1,Milik sendiri,2 atau lebih,Kota,Tidak
Tidak Rawan,Tidak Sekolah,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,60,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Perempuan,66,Ya,3,Tidak Ada,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,60,Listrik,LPG 3Kg,Lainnya,Ya,Tidak,Laki-Laki,29,Ya,1,Tidak Ada,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Kota,Tidak
Tidak Rawan,SD,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Lainnya,36,Listrik,LPG 3Kg,Sumur bor/pompa,Ya,Tidak,Laki-Laki,37,Ya,2,Tidak Ada,Tidak Ada,1,Bebas Sewa,Tidak Ada,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,42,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Tidak,Laki-Laki,52,Ya,4,1,Tidak Ada,1,Milik sendiri,1,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,48,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,29,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Kontrak/sewa,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,80,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,38,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Kontrak/sewa,2 atau lebih,Kota,Tidak
Rawan,SMP,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,56,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,37,Ya,4,2,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,60,Listrik,LPG 3Kg,Leding,Ya,Tidak,Laki-Laki,27,Ya,3,1,Tidak Ada,Tidak Ada,Kontrak/sewa,1,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,70,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Perempuan,61,Ya,3,1,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,160,Listrik,LPG 3Kg,Lainnya,Ya,Tidak,Laki-Laki,50,Ya,5 atau lebih,1,1,2 atau lebih,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Genteng,Semen/bata merah,Kayu/Papan,50,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,64,Ya,3,Tidak Ada,Tidak Ada,1,Kontrak/sewa,1,Kota,Tidak
Rawan,Perguruan Tinggi,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,42,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,62,Ya,3,Tidak Ada,2 atau lebih,2 atau lebih,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,70,Listrik,LPG 3Kg,Sumur bor/pompa,Ya,Ya,Laki-Laki,50,Ya,4,2,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
