Status_Rawan,Pendidikan_KRT,KRT_Rawan,Penerima_Transfer,Aset_Tanah,Akses_Internet,Sakit_Namun_Tidak_Rawat_Jalan,PKH,KKS,BPNT,Bantuan_Pemda,BPJS,Jamkesda,KIP,PIP,Jenis_Atap,Jenis_Lantai,Jenis_Dinding,Luas_Lantai,Listrik,Bahan_Bakar_Masak,Sumber_Air_Minum,Air_Minum_Layak,Sanitasi_Layak,Jenis_Kelamin_KRT,Umur_KRT,Status_Bekerja_KRT,ART,ART014,Buta_Huruf,Perokok,Status_Bangunan,Tabungan,Status_Daerah,Akses_KUR
Tidak Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,42,Listrik,LPG 3Kg,Sumur bor/pompa,Ya,Ya,Laki-Laki,70,Ya,3,Tidak Ada,Tidak Ada,1,Milik sendiri,2 atau lebih,Kota,Tidak
Rawan,SMP,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,72,Listrik,LPG 3Kg,Leding,Ya,Tidak,Laki-Laki,48,Ya,5 atau lebih,2,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Rawan,SMA,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,48,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,53,Ya,4,1,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Kota,Tidak
Rawan,SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,98,Listrik,LPG 3Kg,Lainnya,Ya,Tidak,Perempuan,52,Ya,1,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,60,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,39,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Milik sendiri,1,Desa,Tidak
Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Genteng,Marmer/Keramik,Kayu/Papan,210,Listrik,Minyak tanah,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,76,Tidak,4,Tidak Ada,Tidak Ada,1,Milik sendiri,2 atau lebih,Kota,Tidak
Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Lainnya,Lainnya,Kayu/Papan,49,Listrik,LPG 3Kg,Sumur bor/pompa,Ya,Ya,Laki-Laki,69,Ya,2,Tidak Ada,Tidak Ada,1,Kontrak/sewa,Tidak Ada,Desa,Tidak
Rawan,SMA,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,72,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,37,Ya,1,Tidak Ada,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,42,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,35,Ya,3,1,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,100,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,33,Ya,4,2,Tidak Ada,1,Bebas Sewa,2 atau lebih,Kota,Tidak
